Original Size, Compression Time, Decompression Time, Compressed Size, Decompressed Size,  Encryption Time, Decryption Time, Encrypted Size, Decrypted Size, Compression and Encryption Time, Decompression and Decryption Time, Compressed and Encrypted Size, Decrypted and Decompressed Size
49.206,1.3358592987060547,0.5631446838378906,45.061,49.206,0.3552436828613281,0.3724098205566406,49.206,49.206,1.6858577728271484,0.9055137634277344,45.061,49.206
118.326,1.2021064758300781,0.7767677307128906,104.05,118.326,0.6604194641113281,0.6392002105712891,118.326,118.326,1.7774105072021484,1.3842582702636719,104.05,118.326
196.662,2.463817596435547,0.9281635284423828,59.959,196.662,0.9560585021972656,0.9624958038330078,196.662,196.662,2.8676986694335938,1.3353824615478516,59.959,196.662
433.206,4.8084259033203125,1.9576549530029297,161.446,433.206,2.001047134399414,1.9965171813964844,433.206,433.206,5.65338134765625,2.7751922607421875,161.446,433.206
786.486,12.762784957885742,3.007173538208008,552.244,786.486,3.5228729248046875,3.4914016723632812,786.486,786.486,15.224695205688477,5.539655685424805,552.244,786.486
1470.054,12.793302536010742,4.2877197265625,410.416,1470.054,6.412744522094727,6.441354751586914,1470.054,1470.054,14.76740837097168,6.20722770690918,410.416,1470.054
3145.782,30.90357780456543,9.727239608764648,2861.185,3145.782,13.82899284362793,13.763189315795898,3145.782,3145.782,43.979644775390625,22.238731384277344,2861.185,3145.782
6114.054,71.39778137207031,18.941402435302734,3275.048,6114.054,26.69048309326172,26.567935943603516,6114.054,6114.054,90.29078483581543,33.23650360107422,3275.048,6114.054
12000.054,217.77105331420898,44.60406303405762,9805.188,12000.054,56.097984313964844,58.023929595947266,12000.054,12000.054,265.0432586669922,91.25638008117676,9805.188,12000.054
20280.054,169.01588439941406,81.4056396484375,7143.137,20280.054,95.17216682434082,97.87368774414062,20280.054,20280.054,199.98407363891602,114.91847038269043,7143.137,20280.054
39186.162,439.8009777069092,119.47417259216309,13980.929,39186.162,187.90364265441895,173.72870445251465,39186.162,39186.162,500.08130073547363,179.63504791259766,13980.929,39186.162
75000.054,768.3944702148438,211.9147777557373,30491.524,75000.054,324.5563507080078,321.40302658081055,75000.054,75000.054,898.8163471221924,341.9961929321289,30491.524,75000.054
