Original Size, Compression Time, Decompression Time, Compressed Size, Decompressed Size,  Encryption Time, Decryption Time, Encrypted Size, Decrypted Size, Compression and Encryption Time, Decompression and Decryption Time, Compressed and Encrypted Size, Decrypted and Decompressed Size
17.223,0.7894039154052734,0.6573200225830078,16.232,17.223,0.2167224884033203,0.22649765014648438,17.223,17.223,1.0166168212890625,1.2960433959960938,16.232,17.223
18.653,2.064943313598633,0.5092620849609375,17.68,18.653,0.23436546325683594,0.2422332763671875,18.653,18.653,2.3009777069091797,0.7386207580566406,17.68,18.653
23.128,0.7891654968261719,0.537872314453125,21.569,23.128,0.2467632293701172,0.2522468566894531,23.128,23.128,1.0225772857666016,0.7946491241455078,21.569,23.128
29.605,0.8001327514648438,0.5056858062744141,27.537,29.605,0.8001327514648438,0.2796649932861328,29.605,29.605,1.073598861694336,0.7886886596679688,27.537,29.605
43.217,1.169443130493164,0.6585121154785156,39.355,43.217,0.3459453582763672,0.34880638122558594,43.217,43.217,1.512289047241211,1.02996826171875,39.355,43.217
69.241,5.688190460205078,0.8304119110107422,62.284,69.241,0.4622936248779297,0.46944618225097656,69.241,69.241,6.094694137573242,1.3797283172607422,62.284,69.241
122.613,5.243539810180664,0.6754398345947266,108.762,122.613,0.7116794586181641,0.6897449493408203,122.613,122.613,5.882501602172852,1.3072490692138672,108.762,122.613
228.942,2.161264419555664,0.8776187896728516,201.199,228.942,1.165151596069336,1.7077922821044922,228.942,228.942,3.1964778900146484,1.8930435180664062,201.199,228.942
441.853,3.537893295288086,1.6644001007080078,386.358,441.853,2.081632614135742,7.293939590454102,441.853,441.853,5.433559417724609,3.5576820373535156,386.358,441.853
867.728,14.794588088989258,2.171754837036133,755.674,867.728,4.013299942016602,4.020214080810547,867.728,867.728,18.359899520874023,5.804300308227539,755.674,867.728
