Original Size, Compression Time, Decompression Time, Compressed Size, Decompressed Size,  Encryption Time, Decryption Time, Encrypted Size, Decrypted Size, Compression and Encryption Time, Decompression and Decryption Time, Compressed and Encrypted Size, Decrypted and Decompressed Size
1.292,0.4496574401855469,0.3910064697265625,0.783,1.292,0.14519691467285156,0.1468658447265625,1.292,1.292,0.5898475646972656,0.5371570587158203,0.783,1.292
2.537,0.44035911560058594,0.5934238433837891,1.374,2.537,0.15878677368164062,0.16188621520996094,2.537,2.537,0.5924701690673828,0.7457733154296875,1.374,2.537
5.044,0.4992485046386719,0.40721893310546875,2.568,5.044,0.16880035400390625,0.16760826110839844,5.044,5.044,0.644683837890625,0.5571842193603516,2.568,5.044
10.005,0.6124973297119141,0.4520416259765625,4.595,10.005,0.2453327178955078,0.19812583923339844,10.005,10.005,0.7810592651367188,0.6325244903564453,4.595,10.005
20.021,0.8182525634765625,0.9603500366210938,8.631,20.021,0.2257823944091797,0.2338886260986328,20.021,20.021,0.9903907775878906,1.1489391326904297,8.631,20.021
39.963,1.024007797241211,1.337289810180664,14.896,39.963,0.4131793975830078,0.3273487091064453,39.963,39.963,1.237630844116211,1.5439987182617188,14.896,39.963
79.977,1.3654232025146484,3.4749507904052734,25.869,79.977,0.4680156707763672,0.4734992980957031,79.977,79.977,1.6186237335205078,3.734588623046875,25.869,79.977
159.985,2.108335494995117,4.105329513549805,44.412,159.985,1.7223358154296875,0.8449554443359375,159.985,159.985,2.4347305297851562,4.431724548339844,44.412,159.985
320.039,2.843141555786133,1.2326240539550781,62.785,320.039,1.5299320220947266,1.4729499816894531,320.039,320.039,3.2737255096435547,1.6388893127441406,62.785,320.039
639.99,3.137826919555664,2.0110607147216797,64.832,639.99,9.044170379638672,8.670806884765625,639.99,639.99,3.57818603515625,2.448558807373047,64.832,639.99
