Original Size, Compression Time, Decompression Time, Compressed Size, Decompressed Size,  Encryption Time, Decryption Time, Encrypted Size, Decrypted Size, Compression and Encryption Time, Decompression and Decryption Time, Compressed and Encrypted Size, Decrypted and Decompressed Size
4.885,0.6000995635986328,0.4341602325439453,4.194,4.885,0.2186298370361328,0.22673606872558594,4.885,4.885,0.8335113525390625,0.6592273712158203,4.194,4.885
5.498,0.5605220794677734,0.4620552062988281,4.815,5.498,0.22268295288085938,0.21719932556152344,5.498,5.498,0.7688999176025391,0.7016658782958984,4.815,5.498
6.78,0.5617141723632812,0.4467964172363281,6.099,6.78,0.21004676818847656,0.21767616271972656,6.78,6.78,1.0755062103271484,0.6625652313232422,6.099,6.78
8.846,0.6504058837890625,0.4334449768066406,8.151,8.846,0.21982192993164062,0.2281665802001953,8.846,8.846,0.8831024169921875,0.6690025329589844,8.151,8.846
13.042,0.5998611450195312,0.45037269592285156,12.368,13.042,0.24843215942382812,0.26607513427734375,13.042,13.042,0.8420944213867188,0.7009506225585938,12.368,13.042
20.173,0.7345676422119141,0.4715919494628906,19.633,20.173,0.27179718017578125,0.278472900390625,20.173,20.173,1.008749008178711,0.7472038269042969,19.633,20.173
34.172,0.7491111755371094,0.5104541778564453,33.547,34.172,0.34165382385253906,0.34928321838378906,34.172,34.172,1.0993480682373047,0.8673667907714844,33.547,34.172
62.429,0.8189678192138672,0.5273818969726562,62.439,62.429,0.47969818115234375,0.4608631134033203,62.429,62.429,1.2943744659423828,1.0042190551757812,62.439,62.429
119.503,0.9827613830566406,0.6170272827148438,119.515,119.503,0.7078647613525391,0.7162094116210938,119.503,119.503,1.735687255859375,1.39617919921875,119.515,119.503
231.498,1.3866424560546875,0.9770393371582031,231.513,231.498,1.1587142944335938,1.165628433227539,231.498,231.498,2.5746822357177734,2.166271209716797,231.513,231.498
